INFO:root: timestamp: 2018-10-11 15:36:21.577316, status_code: 200, request_epoch_(sec): 0.03930497169494629
INFO:root: timestamp: 2018-10-11 15:36:24.584015, status_code: 200, request_epoch_(sec): 0.04050397872924805
INFO:root: timestamp: 2018-10-11 15:36:27.586830, status_code: 200, request_epoch_(sec): 0.04185009002685547
INFO:root: timestamp: 2018-10-11 15:36:30.587613, status_code: 200, request_epoch_(sec): 0.0404820442199707
INFO:root: timestamp: 2018-10-11 15:36:33.592734, status_code: 200, request_epoch_(sec): 0.04172396659851074
INFO:root: timestamp: 2018-10-11 15:36:36.591190, status_code: 200, request_epoch_(sec): 0.039903879165649414
INFO:root: timestamp: 2018-10-11 15:36:39.594531, status_code: 200, request_epoch_(sec): 0.04202389717102051
INFO:root: timestamp: 2018-10-11 15:36:42.593799, status_code: 200, request_epoch_(sec): 0.04016518592834473
INFO:root: timestamp: 2018-10-11 15:36:45.595186, status_code: 200, request_epoch_(sec): 0.04004621505737305
INFO:root: timestamp: 2018-10-11 15:36:48.602667, status_code: 200, request_epoch_(sec): 0.043074607849121094
INFO:root: timestamp: 2018-10-11 15:36:51.599585, status_code: 200, request_epoch_(sec): 0.0384368896484375
INFO:root: timestamp: 2018-10-11 15:36:54.602281, status_code: 200, request_epoch_(sec): 0.038442134857177734
INFO:root: timestamp: 2018-10-11 15:36:57.604660, status_code: 200, request_epoch_(sec): 0.03700900077819824
INFO:root: timestamp: 2018-10-11 15:37:00.612331, status_code: 200, request_epoch_(sec): 0.042366981506347656
INFO:root: timestamp: 2018-10-11 15:37:03.620321, status_code: 200, request_epoch_(sec): 0.04961800575256348
INFO:root: timestamp: 2018-10-11 15:37:06.616914, status_code: 200, request_epoch_(sec): 0.0411069393157959
INFO:root: timestamp: 2018-10-11 15:37:09.617529, status_code: 200, request_epoch_(sec): 0.04079604148864746
INFO:root: timestamp: 2018-10-11 15:37:12.625882, status_code: 200, request_epoch_(sec): 0.044956207275390625
INFO:root: timestamp: 2018-10-11 15:37:15.622812, status_code: 200, request_epoch_(sec): 0.04056811332702637
INFO:root: timestamp: 2018-10-11 15:37:18.628106, status_code: 200, request_epoch_(sec): 0.04487776756286621
INFO:root: timestamp: 2018-10-11 15:37:21.625286, status_code: 200, request_epoch_(sec): 0.040992021560668945
